"Açude","Bacia","Município","Capac. Máxima (m³)","Volume Atual (m³)","Volume total (%)","Data do registro",""
"Acauã (Argemiro de Figueiredo)","Região do Médio Curso do Rio Paraíba","Itatuba","253.000.000","32.381.625","12,80","07/12/2021",""
"Albino","Piancó","Imaculada","1.833.955","1.238.370","67,52","07/12/2021",""
"Algodão","Curimatau","Algodão de Jandaíra","1.025.425","176.537","17,22","09/12/2021",""
"Araçagi","Mamanguape","Araçagi","63.289.037","33.709.486","53,26","08/12/2021",""
"Arrojado","Peixe","Uiraúna","3.596.180","422.719","11,75","09/12/2021",""
"Baião","Região do Médio Curso do Rio Piranhas","Belém do Brejo do Cruz","39.226.628","19.003.877","48,45","08/12/2021",""
"Bartolomeu I","Região do Alto Curso do Rio Piranhas","Bonito de Santa Fé","17.570.556","9.182.226","52,26","09/12/2021",""
"Bastiana","Espinharas","Teixeira","1.271.560","27.310","2,15","07/12/2021",""
"Bichinho","Região do Alto Curso do Rio Paraíba","Barra de São Miguel","4.574.375","694.377","15,18","03/12/2021",""
"Bom Jesus","Região do Alto Curso do Rio Piranhas","Carrapateira","343.800","186.545","54,26","30/11/2021",""
"Bom Jesus II","Piancó","Agua Branca","14.636.457","12.332.890","84,26","07/12/2021",""
"Boqueirão do Cais","Jacu","Cuité","12.367.300","1.579.192","12,77","08/12/2021",""
"Brejinho","Mamanguape","Juarez Távora","789.000","34.220","4,34","01/12/2021",""
"Bruscas","Piancó","Curral Velho","38.206.463","13.593.664","35,58","06/12/2021",""
"Cachoeira da Vaca","Peixe","Cachoeira dos Índios","339.156","139.271","41,06","09/12/2021",""
"Cachoeira dos Alves","Piancó","Itaporanga","10.611.196","7.334.701","69,12","08/12/2021",""
"Cachoeira dos Cegos","Piancó","Catingueira","71.887.047","36.145.588","50,28","07/12/2021",""
"Cacimba de Várzea","Curimatau","Cacimba de Dentro","9.264.321","6.196.932","66,89","09/12/2021",""
"Cacimbinha","Seridó","São Vicente do Seridó","2.156.560","95.150","4,41","12/11/2021",""
"Cafundó","Piancó","Serra Grande","313.680","181.484","57,86","09/12/2021",""
"Camalaú","Região do Alto Curso do Rio Paraíba","Camalaú","48.107.240","20.660.518","42,95","09/12/2021",""
"Campos","Região do Alto Curso do Rio Paraíba","Caraúbas","6.594.392","0","0","07/12/2021",""
"Canafístula II","Mamanguape","Borborema","4.102.626","49.445","1,21","06/12/2021",""
"Capivara","Peixe","Uiraúna","37.549.827","1.363.613","3,63","09/12/2021",""
"Capoeira","Espinharas","Santa Teresinha","53.450.000","22.604.456","42,29","09/12/2021",""
"Caraibeiras","Seridó","Picuí","2.709.260","526.300","19,43","08/12/2021",""
"Carneiro","Região do Médio Curso do Rio Piranhas","Jericó","31.285.875","13.815.877","44,16","08/12/2021",""
"Catolé I","Piancó","Manaíra","10.500.000","7.233.526","68,89","08/12/2021",""
"Chupadouro I","Peixe","São João do Rio do Peixe","2.764.100","926.814","33,53","08/12/2021",""
"Chupadouro II","Mamanguape","Serra Redonda","634.620","2.377","0,37","06/12/2021",""
"Chã dos Pereiras","Região do Baixo Curso do Rio Paraíba","Ingá","1.965.600","359.160","18,27","09/12/2021",""
"Cochos","Piancó","Igaracy","4.199.773","2.812.484","66,97","06/12/2021",""
"Condado","Piancó","Conceição","35.016.000","11.800.000","33,70","09/12/2021",""
"Cordeiro","Região do Alto Curso do Rio Paraíba","Congo","69.965.945","37.738.252","53,94","09/12/2021",""
"Coremas","Piancó","Coremas","744.144.694","300.971.673","40,45","09/12/2021",""
"Coronel Jueca","Taperoá","Cacimbas","6.126.875","1.750.625","28,57","24/11/2021",""
"Covão","Mamanguape","Areial","672.260","0","0","06/12/2021",""
"Curimataú","Curimatau","Barra de Santa Rosa","5.989.250","1.312.750","21,92","09/12/2021",""
"Duas Estradas","Camaratuba","Duas Estradas","410.260","33.264","8,11","09/12/2021",""
"Emas","Piancó","Emas","2.013.750","632.268","31,40","08/12/2021",""
"Emídio","Mamanguape","Montadas","461.151","0","0","06/12/2021",""
"Engenheiro Arcoverde","Região do Médio Curso do Rio Piranhas","Condado","36.834.375","12.724.381","34,54","07/12/2021",""
"Engenheiro Avidos","Região do Alto Curso do Rio Piranhas","Cajazeiras","293.617.376","77.309.641","26,33","08/12/2021",""
"Epitácio Pessoa","Região do Alto Curso do Rio Paraíba","Boqueirão","466.525.964","145.948.617","31,28","09/12/2021",""
"Escondido","Região do Médio Curso do Rio Piranhas","Belém do Brejo do Cruz","16.579.250","2.691.015","16,23","07/12/2021",""
"Farinha","Espinharas","Patos","25.738.500","6.632.112","25,77","09/12/2021",""
"Felismina Queiroz","Seridó","São Vicente do Seridó","2.060.000","777.278","37,73","06/12/2021",""
"Frutuoso II","Piancó","Aguiar","3.517.220","2.140.782","60,87","05/12/2021",""
"Gamela","Peixe","Triunfo","472.926","266.490","56,35","09/12/2021",""
"Gavião","Região do Baixo Curso do Rio Paraíba","Fagundes","1.450.840","493.041","33,98","08/12/2021",""
"Glória","Piancó","Juru","1.349.980","857.285","63,50","08/12/2021",""
"Gramame / Mamuaba","Gramame","Conde","56.937.000","35.823.440","62,92","07/12/2021",""
"Gurjão","Taperoá","Gurjão","3.683.875","192.086","5,21","08/12/2021",""
"Jandaia","Curimatau","Bananeiras","10.032.266","458.333","4,57","07/12/2021",""
"Jangada","Mamanguape","Mamanguape","470.000","228.000","48,51","07/12/2021",""
"Jatobá I","Espinharas","Patos","17.516.000","7.395.147","42,22","09/12/2021",""
"Jatobá II","Piancó","Princesa Isabel","5.660.979","2.948.131","52,08","07/12/2021",""
"Jenipapeiro","Região do Alto Curso do Rio Piranhas","São José da Lagoa Tapada","1.948.300","580.485","29,79","06/12/2021",""
"Jenipapeiro (Buiú)","Piancó","Olho D`Água","70.757.250","22.855.339","32,30","08/12/2021",""
"Jeremias","Taperoá","Desterro","4.658.430","293.813","6,31","01/12/2021",""
"José Rodrigues","Região do Baixo Curso do Rio Paraíba","Campina Grande","22.332.348","2.450.848","10,97","06/12/2021",""
"Lagoa do Arroz","Peixe","Cajazeiras","80.388.537","24.265.099","30,18","08/12/2021",""
"Lagoa do Matias","Mamanguape","Bananeiras","1.239.883","55.326","4,46","09/12/2021",""
"Lagoa do Meio","Taperoá","Taperoá","6.647.875","118.507","1,78","08/12/2021",""
"Lancha I","Piancó","Aguiar","5.675.800","3.001.659","52,89","06/12/2021",""
"Livramento (Russos)","Taperoá","Gurjão","2.432.420","818.860","33,66","06/12/2021",""
"Mameluco","Piancó","Ibiara","6.041.750","3.901.330","64,57","24/11/2021",""
"Manguape","Mamanguape","São Sebastião de Lagoa de Roça","655.375","0","0","06/12/2021",""
"Marés","Região do Baixo Curso do Rio Paraíba","João Pessoa","2.136.637","1.952.567","91,39","09/12/2021",""
"Massaranduba","Mamanguape","Massaranduba","604.390","40.728","6,74","08/12/2021",""
"Milhã (Evaldo Gonçalves)","Região do Médio Curso do Rio Paraíba","Puxinanã","802.684","18","0","07/12/2021",""
"Mucutu","Taperoá","Juazeirinho","25.370.000","1.030.118","4,06","22/11/2021",""
"Mãe dÁgua","Piancó","Coremas","545.017.499","218.554.595","40,10","09/12/2021",""
"Namorado","Taperoá","São João do Cariri","2.118.980","62.339","2,94","08/12/2021",""
"Nova Camará","Mamanguape","Alagoa Nova","26.581.614","59.293","0,22","09/12/2021",""
"Novo II","Piancó","Tavares","706.080","292.661","41,45","06/12/2021",""
"Olho dÁgua","Região do Baixo Curso do Rio Paraíba","Mari","868.320","489.120","56,33","06/12/2021",""
"Olivedos","Taperoá","Olivedos","5.875.124","0","0","06/12/2021",""
"Ouro Velho","Região do Alto Curso do Rio Paraíba","Ouro Velho","1.675.800","0","0","06/12/2021",""
"Paraíso (Luiz Oliveira)","Peixe","São Francisco","5.340.024","2.712.989","50,80","09/12/2021",""
"Pedra Lisa","Piancó","Imaculada","4.929.420","16.890","0,34","23/11/2021",""
"Pilões","Peixe","São João do Rio do Peixe","7.888.854","610.000","7,73","08/12/2021",""
"Pimenta","Piancó","São José de Caiana","255.744","193.863","75,80","07/12/2021",""
"Piranhas","Piancó","Ibiara","25.696.200","10.207.124","39,72","06/12/2021",""
"Pirpirituba","Mamanguape","Pirpirituba","4.666.188","105.709","2,27","09/12/2021",""
"Pitombeira","Mamanguape","Alagoa Grande","2.955.820","1.964.730","66,47","01/12/2021",""
"Pocinhos","Região do Alto Curso do Rio Paraíba","Monteiro","6.789.305","3.435.894","50,61","08/12/2021",""
"Poleiros","Curimatau","Barra de Santa Rosa","7.933.700","1.542.513","19,44","09/12/2021",""
"Poço Redondo","Piancó","Santana de Mangueira","8.931.340","3.277.875","36,70","29/11/2021",""
"Poções","Região do Alto Curso do Rio Paraíba","Monteiro","29.861.562","16.664.370","55,81","08/12/2021",""
"Prata II","Região do Alto Curso do Rio Paraíba","Prata","1.308.433","139.955","10,70","06/12/2021",""
"Queimadas","Piancó","Santana dos Garrotes","15.625.338","8.942.916","57,23","08/12/2021",""
"Riacho das Moças","Espinharas","Teixeira","6.413.411","148.213","2,31","08/12/2021",""
"Riacho de Santo Antônio","Região do Médio Curso do Rio Paraíba","Riacho de Santo Antônio","6.834.000","0","0","06/12/2021",""
"Riacho dos Cavalos","Região do Médio Curso do Rio Piranhas","Riacho dos Cavalos","17.699.000","1.701.118","9,61","08/12/2021",""
"Riacho Fundo","Seridó","Tenório","298.616","111.896","37,47","30/11/2021",""
"Riacho Verde","Piancó","Boa Ventura","1.256.250","850.855","67,73","30/11/2021",""
"Roçado","Piancó","Conceição","725.178","495.852","68,38","30/11/2021",""
"Sabonete","Espinharas","Teixeira","1.952.540","0","0","07/12/2021",""
